"strain_id","strain_code","tip_label","tiplab","species","origin","environment","species.sp","slope_logchroma_per_mM","intercept_logchroma","r2","l10med_fixed","partial_slope_sd_cu","pace_loglog"
27,"TFCN_25-0-2E390-1","Rhodotorula_mucilaginosa_TFCN_25-0-2E390-1.proteins","Rhodotorula_mucilaginosa_TFCN_25-0-2E390-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0157949394068624,2.51851490004272,0.395684275110255,4.49412889568887,-0.000630246483745602,0.478113159252997
28,"TFCN_1A-1-3","Rhodotorula_pacifica_TFCN_1A-1-3.proteins","Rhodotorula_pacifica_TFCN_1A-1-3","Rhodotorula pacifica","China","marsh_tidalflat","Rhodotorula pacifica",-0.0232303779735946,2.50219686933542,0.22065659104075,4.46327916978433,0.00865672936658754,0.224348443867006
30,"TFCN_2M-1-4","Rhodotorula_mucilaginosa_TFCN_2M-1-4.proteins","Rhodotorula_mucilaginosa_TFCN_2M-1-4","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0404510568313674,2.74910336515835,0.634092022137335,4.39845789881211,0.00177348996790681,0.485891482517192
31,"TFCN_340-3","Rhodotorula_mucilaginosa_TFCN_340-3.proteins","Rhodotorula_mucilaginosa_TFCN_340-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0334297304872574,2.63712710158464,0.654223901352188,4.40668861005102,-0.00240316734283611,0.361951621534634
32,"TFCN_100D-1","Rhodotorula_mucilaginosa_TFCN_100D-1.proteins","Rhodotorula_mucilaginosa_TFCN_100D-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0358361706990411,2.66330256016185,0.736446903963879,4.36402358614348,0.000619861281907082,0.328498553605848
33,"TFCN_340-1","Rhodotorula_mucilaginosa_TFCN_340-1.proteins","Rhodotorula_mucilaginosa_TFCN_340-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0341783858604626,2.57916852755296,0.581188666472882,4.35711927298159,-0.000657286718124291,0.727680609639998
36,"TFCN_17-267M-1","Rhodotorula_mucilaginosa_TFCN_17-267M-1.proteins","Rhodotorula_mucilaginosa_TFCN_17-267M-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.020525806480311,2.3927989239852,0.623223975029758,4.48008611970299,0.00866100754139594,0.5551216469975
37,"TFCN_48A-15","Rhodotorula_paludigena_TFCN_48A-15.proteins","Rhodotorula_paludigena_TFCN_48A-15","Rhodotorula paludigena","China","marsh_tidalflat","Rhodotorula paludigena",-0.0341802364114025,2.51698133284103,0.709937045080611,4.10930099392802,-0.0350652671577991,0.388334578743461
38,"TFCN_25-332C-1","Rhodotorula_mucilaginosa_TFCN_25-332C-1.proteins","Rhodotorula_mucilaginosa_TFCN_25-332C-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0315769784143321,2.67907887288103,0.524725063832128,4.51784564746536,0.00807384177691784,0.699798386774066
39,"TFCN_17-334Y-3","Rhodotorula_mucilaginosa_TFCN_17-334Y-3.proteins","Rhodotorula_mucilaginosa_TFCN_17-334Y-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0372444190329865,2.64493815299516,0.72989943960553,4.48238283391474,-0.00117890037399002,0.399570491480517
41,"TFCN_107C-3","Rhodotorula_mucilaginosa_TFCN_107C-3.proteins","Rhodotorula_mucilaginosa_TFCN_107C-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0250182437590168,2.62008796668204,0.493112379710986,4.47354870235717,-0.00275068584075593,0.327178206465904
42,"TFCN_33A-4","Rhodotorula_mucilaginosa_TFCN_33A-4.proteins","Rhodotorula_mucilaginosa_TFCN_33A-4","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",0.00291756552209305,1.90175272406732,0.00498882655574993,4.2697034103684,0.0116541653019962,0.322174826668314
43,"TFCN_152D-4","Rhodotorula_toruloides_TFCN_152D-4.proteins","Rhodotorula_toruloides_TFCN_152D-4","Rhodotorula toruloides","China","marsh_tidalflat","Rhodotorula toruloides",-0.0150364891367105,1.95822181072345,0.06657055928814,4.30407761537459,0.00670863680107873,0.139146579255106
44,"TFCN_7-9-2","Rhodotorula_diobovata_TFCN_7-9-2.proteins","Rhodotorula_diobovata_TFCN_7-9-2","Rhodotorula diobovata","China","marsh_tidalflat","Rhodotorula diobovata",-0.0125112019584418,2.34551255165138,0.169581241620177,4.42985810660738,0.0339490862231223,0.220797161616345
45,"TFCN_17Y-278-1","Rhodotorula_mucilaginosa_TFCN_17Y-278-1.proteins","Rhodotorula_mucilaginosa_TFCN_17Y-278-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.021936116566896,2.38194830877667,0.250378859961575,4.43027533797307,0.00292870563393793,0.43506719231532
46,"TFCN_43A-4","Rhodotorula_paludigena_TFCN_43A-4.proteins","Rhodotorula_paludigena_TFCN_43A-4","Rhodotorula paludigena","China","marsh_tidalflat","Rhodotorula paludigena",-0.0202369386840138,2.39276123482974,0.214514264522833,4.28021970100265,-0.0222238251141013,0.744269954423789
47,"TFCN_25-331D-1","Rhodotorula_mucilaginosa_TFCN_25-331D-1.proteins","Rhodotorula_mucilaginosa_TFCN_25-331D-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0130399155866054,2.41558014201087,0.153042582253112,4.4021612826384,0.00167271344199133,0.86181242624032
48,"TFCN_25-333C-2","Rhodotorula_mucilaginosa_TFCN_25-333C-2.proteins","Rhodotorula_mucilaginosa_TFCN_25-333C-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0328377396517536,2.55147528158595,0.367202451150709,4.32752941827585,0.0226384381309005,0.468871549390604
49,"TFCN_270H-2","Rhodotorula_mucilaginosa_TFCN_270H-2.proteins","Rhodotorula_mucilaginosa_TFCN_270H-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0449043600208317,2.77909965827643,0.781609464479372,4.37429038770411,-0.0069631414321451,0.407914751735997
50,"TFCN_118C-2","Rhodotorula_mucilaginosa_TFCN_118C-2.proteins","Rhodotorula_mucilaginosa_TFCN_118C-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0491851341214573,2.75276208212078,0.723602825729244,4.3864665011572,0.00217586269075468,0.467649642519722
51,"TFCN_25-334D-3","Rhodotorula_mucilaginosa_TFCN_25-334D-3.proteins","Rhodotorula_mucilaginosa_TFCN_25-334D-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0391314204862491,2.69418677518231,0.783279418979482,4.46498584382416,-0.0457374990369899,0.421426696993736
52,"TFCN_1A-14","Rhodotorula_mucilaginosa_TFCN_1A-14.proteins","Rhodotorula_mucilaginosa_TFCN_1A-14","Rhodotorula mucilaginosa","China","","Rhodotorula mucilaginosa",-0.013877799597413,2.48407433249005,0.348827037648743,4.42532258500484,-0.0187641198479182,0.7071856911118
53,"TFCN_211A-3","Rhodotorula_mucilaginosa_TFCN_211A-3.proteins","Rhodotorula_mucilaginosa_TFCN_211A-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0363397347898118,2.70689454027068,0.707899614157856,4.37589351065833,0.00137794386242571,0.519277712902645
54,"TFCN_17-0-2E390-1","Rhodotorula_mucilaginosa_TFCN_17-0-2E390-1.proteins","Rhodotorula_mucilaginosa_TFCN_17-0-2E390-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0191539973483438,2.55237884077184,0.482276498101219,4.50026183155169,0.00172543899341115,0.605922674911962
55,"TFCN_172A-1","Rhodotorula_mucilaginosa_TFCN_172A-1.proteins","Rhodotorula_mucilaginosa_TFCN_172A-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0266271654200156,2.47542746959027,0.442439357898425,4.47432561925744,0.00745007292926156,0.359498596321564
56,"TFCN_22C-4","Rhodotorula_mucilaginosa_TFCN_22C-4.proteins","Rhodotorula_mucilaginosa_TFCN_22C-4","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0336444562464522,2.6325878846993,0.503215789345131,4.46780736090817,-0.000727598926114819,0.549536709212399
57,"TFCN_98D-11","Rhodotorula_mucilaginosa_TFCN_98D-11.proteins","Rhodotorula_mucilaginosa_TFCN_98D-11","Rhodotorula mucilaginosa","China","","Rhodotorula mucilaginosa",-0.0170414820558662,2.52790029768205,0.299098447768528,4.48738943400311,0.0103229896692607,0.319207887128515
58,"TFCN_25-332Y-1","Rhodotorula_mucilaginosa_TFCN_25-332Y-1.proteins","Rhodotorula_mucilaginosa_TFCN_25-332Y-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0259311388704252,2.61771607853086,0.549761300093638,4.49442960246852,-0.00159208156980886,0.681310495424149
59,"TFCN_25-333Y-9","Rhodotorula_mucilaginosa_TFCN_25-333Y-9.proteins","Rhodotorula_mucilaginosa_TFCN_25-333Y-9","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0300051217046203,2.62370761986735,0.602061474796384,4.46625641927923,0.00134761876203991,0.999654785956943
60,"TFCN_25-325Y-1","Rhodotorula_mucilaginosa_TFCN_25-325Y-1.proteins","Rhodotorula_mucilaginosa_TFCN_25-325Y-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0135014445771257,2.48937127774025,0.446950457072801,4.4787365553998,0.000369783760269762,0.383418313105704
61,"TFCN_152A-6","Rhodotorula_toruloides_TFCN_152A-6.proteins","Rhodotorula_toruloides_TFCN_152A-6","Rhodotorula toruloides","China","marsh_tidalflat","Rhodotorula toruloides",-0.0386280703496865,2.51845254954694,0.572406037133204,4.24678021726198,0.00402180765041769,0.715140290955075
62,"TFCN_17-338D-3","Rhodotorula_mucilaginosa_TFCN_17-338D-3.proteins","Rhodotorula_mucilaginosa_TFCN_17-338D-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.00756287827843381,2.31451860455843,0.0417396417107348,4.47166189188062,0.0142892374875706,0.367318270002565
63,"TFCN_17-0-2E390-2","Rhodotorula_mucilaginosa_TFCN_17-0-2E390-2.proteins","Rhodotorula_mucilaginosa_TFCN_17-0-2E390-2","Rhodotorula mucilaginosa","China","","Rhodotorula mucilaginosa",-0.0279033147818294,2.61115518370855,0.583009728423058,4.40343387811905,0.0153693546451366,0.884120605181665
64,"TFCN_140A-3","Rhodotorula_mucilaginosa_TFCN_140A-3.proteins","Rhodotorula_mucilaginosa_TFCN_140A-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0409275690852117,2.68349903377875,0.540639893509341,4.43472973632057,0.00563326793127664,0.368855790615998
66,"TFCN_209-6-5","Rhodotorula_mucilaginosa_TFCN_209-6-5.proteins","Rhodotorula_mucilaginosa_TFCN_209-6-5","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.020292689369041,2.56729199320114,0.44699977417285,4.49611254389691,-0.000104336664631481,0.449793476974511
67,"TFCN_17-333P-6","Rhodotorula_mucilaginosa_TFCN_17-333P-6.proteins","Rhodotorula_mucilaginosa_TFCN_17-333P-6","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0211653013344854,2.58463880967777,0.678794681113514,4.56078711442829,0.00390963351030696,0.442469758784804
68,"TFCN_17-325D-2","Rhodotorula_mucilaginosa_TFCN_17-325D-2.proteins","Rhodotorula_mucilaginosa_TFCN_17-325D-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0194298313763796,2.52767093026636,0.218430886796715,4.51017564825571,0.0109573985804351,0.747748735297057
69,"TFCN_17-325P-1","Rhodotorula_mucilaginosa_TFCN_17-325P-1.proteins","Rhodotorula_mucilaginosa_TFCN_17-325P-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0165909290344076,2.46846527663133,0.339032529132207,4.50171656864993,-0.00235526477428928,0.370618858120781
71,"TFCN_7W-292-3","Rhodotorula_dairenensis_TFCN_7W-292-3.proteins","Rhodotorula_dairenensis_TFCN_7W-292-3","Rhodotorula dairenensis","China","marsh_tidalflat","Rhodotorula dairenensis",-0.00462413473167164,2.40104545101824,0.0580787264140839,4.46651190591023,-0.00660899778832641,0.423284805500083
72,"TFCN_89D-3","Rhodotorula_mucilaginosa_TFCN_89D-3.proteins","Rhodotorula_mucilaginosa_TFCN_89D-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0394895467416541,2.71295000066215,0.682909424994456,4.35592353676778,0.0331073957693906,0.282602273802534
73,"TFCN_138A-1","Rhodotorula_mucilaginosa_TFCN_138A-1.proteins","Rhodotorula_mucilaginosa_TFCN_138A-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0137808522142027,2.47089948886867,0.465114047450808,4.51348467541971,0.000198904767692458,0.334868765335154
74,"TFCN_209-6-17","Rhodotorula_mucilaginosa_TFCN_209-6-17.proteins","Rhodotorula_mucilaginosa_TFCN_209-6-17","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0106099983193063,2.45197269902053,0.364824361593485,4.55183590149192,0.000440051631588965,0.510253034733969
75,"TFCN_137D-4","Rhodotorula_mucilaginosa_TFCN_137D-4.proteins","Rhodotorula_mucilaginosa_TFCN_137D-4","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0199471044361038,2.54995290063108,0.653312633817346,4.50749796767547,0.000475302590818203,0.892854691029705
76,"TFCN_25-337Y-1","Rhodotorula_mucilaginosa_TFCN_25-337Y-1.proteins","Rhodotorula_mucilaginosa_TFCN_25-337Y-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0212419527808446,2.61076944126353,0.407046810919185,4.47199771504538,0.00167533047701351,0.794382374333947
77,"TFCN_209-6-2","Rhodotorula_mucilaginosa_TFCN_209-6-2.proteins","Rhodotorula_mucilaginosa_TFCN_209-6-2","Rhodotorula mucilaginosa","China","","Rhodotorula mucilaginosa",-0.0133131660968633,2.48581952559059,0.517996210863418,4.51759697823416,0.000240735233725082,0.347808801793411
78,"TFCN_25-332P-2","Rhodotorula_mucilaginosa_TFCN_25-332P-2.proteins","Rhodotorula_mucilaginosa_TFCN_25-332P-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.021141822886023,2.47820339836108,0.746931365665534,4.46272562586361,-0.00770067600628759,0.353677748012015
79,"TFCN_98C-7","Rhodotorula_mucilaginosa_TFCN_98C-7.proteins","Rhodotorula_mucilaginosa_TFCN_98C-7","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.044169464656613,2.6140802300458,0.812039825047852,4.32086308506085,0.00051546731906709,0.585532072946909
80,"TFCN_1B-1-2","Rhodotorula_pacifica_TFCN_1B-1-2.proteins","Rhodotorula_pacifica_TFCN_1B-1-2","Rhodotorula pacifica","China","marsh_tidalflat","Rhodotorula pacifica",-0.0139327888314805,2.49949940893914,0.26206740383972,4.50321396574185,0.00810616278745302,0.364212001593831
81,"TFCN_98C-5","Rhodotorula_mucilaginosa_TFCN_98C-5.proteins","Rhodotorula_mucilaginosa_TFCN_98C-5","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0363795454659469,2.69666110162627,0.582352497970116,4.44288942483421,0.00494318431953605,0.703948240971254
83,"TFCN_152A-2","Rhodotorula_mucilaginosa_TFCN_152A-2.proteins","Rhodotorula_mucilaginosa_TFCN_152A-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0284784397946392,2.47100709332444,0.246631044190458,4.36453159043874,-0.016423265441193,0.349663598887163
85,"TFCN_48A-3","Rhodotorula_paludigena_TFCN_48A-3.proteins","Rhodotorula_paludigena_TFCN_48A-3","Rhodotorula paludigena","China","marsh_tidalflat","Rhodotorula paludigena",-0.0213102391212404,2.50008098564297,0.676664971444995,4.33100769364632,-0.0265062673633006,0.31367817331304
86,"TFCN_25-333Y-10","Rhodotorula_mucilaginosa_TFCN_25-333Y-10.proteins","Rhodotorula_mucilaginosa_TFCN_25-333Y-10","Rhodotorula mucilaginosa","China","","Rhodotorula mucilaginosa",-0.0218744125709513,2.3528491578,0.386414635556944,4.40514604786395,-0.0101385041746005,0.405011752162467
88,"TFCN_152C-3","Rhodotorula_toruloides_TFCN_152C-3.proteins","Rhodotorula_toruloides_TFCN_152C-3","Rhodotorula toruloides","China","","Rhodotorula toruloides",-0.0307469497367873,2.20557158459119,0.222042785690816,4.35342571221762,-0.0127355775867709,0.391000792227391
89,"TFCN_4M-1-5","Rhodotorula_mucilaginosa_TFCN_4M-1-5.proteins","Rhodotorula_mucilaginosa_TFCN_4M-1-5","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.00136079853796398,2.17853794701549,0.000875730544471801,4.48847107468872,-0.00188331988132064,0.328090891614352
91,"TFCN_25-335P-1","Rhodotorula_diobovata_TFCN_25-335P-1.proteins","Rhodotorula_diobovata_TFCN_25-335P-1","Rhodotorula diobovata","China","marsh_tidalflat","Rhodotorula diobovata",-0.0503183596594137,2.73879565478051,0.671053075657661,4.19259515910525,0.00442662979276235,0.286456767076748
92,"TFCN_S22D-1","Rhodotorula_taiwanensis_TFCN_S22D-1.proteins","Rhodotorula_taiwanensis_TFCN_S22D-1","Rhodotorula taiwanensis","China","marsh_tidalflat","Rhodotorula taiwanensis",-0.0257872407968396,2.7194718568455,0.864073585069921,4.09889370053108,0.0088432309108136,0.362367154867596
94,"TFCN_48D-4","Rhodotorula_paludigena_TFCN_48D-4.proteins","Rhodotorula_paludigena_TFCN_48D-4","Rhodotorula paludigena","China","marsh_tidalflat","Rhodotorula paludigena",-0.0243902722157126,2.57751195505017,0.738428554065878,NA,NA,0.220467477789345
95,"TFCN_86A-3","Rhodotorula_mucilaginosa_TFCN_86A-3.proteins","Rhodotorula_mucilaginosa_TFCN_86A-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0133021534981552,2.4171531560514,0.100756844606385,4.55752140542675,-0.00567743489674905,0.428085406506658
