Index,Strain ID,Strain Name,Strain,Species,Origin,Environment,Run Number,Library Plate,Configuration,Well position,Incubation Temp (°C),Time stamped,Media
14,14.0,130D-4 BY30-H7,TFCN_130D-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,16.0,30.0,,YPDN
15,15.0,3M-1-1 BY8-B4,TFCN_3M-1-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,17.0,30.0,,YPDN
16,16.0,186DK3-2 BY39-H9,TFCN_186DK3-2,Rhodotorula sp. clade XI,China,marsh_tidalflat,353.0,1.0,1.0,18.0,30.0,,YPDN
17,17.0,7-9-3,TFCN_7-9-3,Rhodotorula diobovata,China,marsh_tidalflat,353.0,1.0,1.0,19.0,30.0,,YPDN
18,18.0,25-395P-1 BY126-F2,TFCN_25-395P-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,20.0,30.0,,YPDN
19,19.0,152A-12 BY32-A3,TFCN_152A-12,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,22.0,30.0,,YPDN
20,20.0,102D-1 8130,TFCN_102D-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,23.0,30.0,,YPDN
21,21.0,4M-1-2 BY8-D4,TFCN_4M-1-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,24.0,30.0,,YPDN
22,22.0,209-6-11 BY43-G1,TFCN_209-6-11,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,25.0,30.0,,YPDN
23,23.0,110C-1,TFCN_110C-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,26.0,30.0,,YPDN
24,24.0,17-337P-5 BY116-B7,TFCN_17-337P-5,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,27.0,30.0,,YPDN
25,25.0,137C-3 BY30-I4,TFCN_137C-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,28.0,30.0,,YPDN
26,26.0,212C-2 BY39-G3 ,TFCN_212C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,29.0,30.0,,YPDN
27,27.0,25-0-2E390-1 BY126-F3,TFCN_25-0-2E390-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,30.0,30.0,,YPDN
28,28.0,1A-1-3 8130,TFCN_1A-1-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,32.0,30.0,,YPDN
29,29.0,25-332D-2 BY119-I1 8/30,TFCN_25-332D-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,33.0,30.0,,YPDN
30,30.0,2M-1-4 BY8-B3 8/30,TFCN_2M-1-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,35.0,30.0,,YPDN
31,31.0,340-3 BY110-F1,TFCN_340-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,36.0,30.0,,YPDN
32,32.0,100D-1 BY31-H3,TFCN_100D-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,37.0,30.0,,YPDN
33,33.0,340-1 BY110-D1,TFCN_340-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,38.0,30.0,,YPDN
34,34.0,83E1 BY33-F1,TFCN_83C-1,Rhodotorula sphaerocarpa,,marsh_tidalflat,353.0,1.0,1.0,39.0,30.0,,YPDN
35,35.0,17-331Y-5 BY117-B9,TFCN_17-331Y-3,,China,marsh_tidalflat,353.0,1.0,1.0,40.0,30.0,,YPDN
36,36.0,17-267M-1 BY121-A4,TFCN_17-267M-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,41.0,30.0,,YPDN
37,37.0,48A-15,TFCN_48A-15,Rhodotorula paludigena,China,marsh_tidalflat,353.0,1.0,1.0,42.0,30.0,,YPDN
38,38.0,25-332C-1 BY119-C2,TFCN_25-332C-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,43.0,30.0,,YPDN
39,39.0,17-334Y-3 BY116-C9,TFCN_17-334Y-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,45.0,30.0,,YPDN
40,40.0,270H-1 BY113-D3,TFCN_270H-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,46.0,30.0,,YPDN
41,41.0,107C-3,TFCN_107C-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,47.0,30.0,,YPDN
42,42.0,33A-4,TFCN_33A-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,48.0,30.0,,YPDN
43,43.0,152D-4 BY32-B4,TFCN_152D-4,Rhodotorula toruloides,China,marsh_tidalflat,353.0,1.0,1.0,49.0,30.0,,YPDN
44,44.0,7-9-2,TFCN_7-9-2,Rhodotorula diobovata,China,marsh_tidalflat,353.0,1.0,1.0,50.0,30.0,,YPDN
45,45.0,17Y-278-1 BY126-D5,TFCN_17Y-278-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,51.0,30.0,,YPDN
46,46.0,43A-4,TFCN_43A-4,Rhodotorula paludigena,China,marsh_tidalflat,353.0,1.0,1.0,52.0,30.0,,YPDN
47,47.0,25-331D-1 BY119-D1,TFCN_25-331D-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,53.0,30.0,,YPDN
48,48.0,25-333C-2 BY120-H5,TFCN_25-333C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,55.0,30.0,,YPDN
49,49.0,270H-2 BY113-D4,TFCN_270H-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,56.0,30.0,,YPDN
50,50.0,118C-2 BY31-G1,TFCN_118C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,57.0,30.0,,YPDN
51,51.0,25-334D-3 BY118-F7,TFCN_25-334D-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,58.0,30.0,,YPDN
52,52.0,1A-14,TFCN_1A-14,Rhodotorula mucilaginosa,China,,353.0,1.0,1.0,59.0,30.0,,YPDN
53,53.0,211A-3 BY37-B3,TFCN_211A-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,60.0,30.0,,YPDN
54,54.0,17-0-2E390-1 BY126-B7,TFCN_17-0-2E390-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,61.0,30.0,,YPDN
55,55.0,172A-1 BY40-A6,TFCN_172A-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,62.0,30.0,,YPDN
56,56.0,22C-4,TFCN_22C-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,63.0,30.0,,YPDN
57,57.0,98D-11,TFCN_98D-11,Rhodotorula mucilaginosa,China,,353.0,1.0,1.0,66.0,30.0,,YPDN
58,58.0,25-332Y-1 BY119-F3,TFCN_25-332Y-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,67.0,30.0,,YPDN
59,59.0,25-333Y-9 BY120_C8,TFCN_25-333Y-9,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,68.0,30.0,,YPDN
60,60.0,25-325Y-1 BY120-D6,TFCN_25-325Y-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,69.0,30.0,,YPDN
61,61.0,152A-6 BY32-D2,TFCN_152A-6,Rhodotorula toruloides,China,marsh_tidalflat,353.0,1.0,1.0,70.0,30.0,,YPDN
62,62.0,17-338D-3 BY116-B5,TFCN_17-338D-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,71.0,30.0,,YPDN
63,63.0,17-0-2E390-2 BY126-C7,TFCN_17-0-2E390-2,Rhodotorula mucilaginosa,China,,353.0,1.0,1.0,72.0,30.0,,YPDN
64,64.0,140A-3 BY30-G2,TFCN_140A-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,73.0,30.0,,YPDN
65,65.0,223D-8 BY35-B9,TFCN_223A-8,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,74.0,30.0,,YPDN
66,66.0,209-6-5 BY43-A1,TFCN_209-6-5,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,76.0,30.0,,YPDN
67,67.0,17-333P-6 BY118-E1,TFCN_17-333P-6,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,77.0,30.0,,YPDN
68,68.0,17-325D-2 BY116-B4,TFCN_17-325D-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,78.0,30.0,,YPDN
69,69.0,17-325P-1 BY117-E2,TFCN_17-325P-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,79.0,30.0,,YPDN
70,71.0,7W-292-3 BY53-A7,TFCN_7W-292-3,Rhodotorula dairenensis,China,marsh_tidalflat,353.0,1.0,1.0,80.0,30.0,,YPDN
71,72.0,89D-3 BY32-I5,TFCN_89D-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,81.0,30.0,,YPDN
72,73.0,138A-1 BY31-C1,TFCN_138A-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,82.0,30.0,,YPDN
73,74.0,209-6-17 BY43-D2,TFCN_209-6-17,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,83.0,30.0,,YPDN
74,75.0,137D-4 BY30-H6,TFCN_137D-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,84.0,30.0,,YPDN
75,76.0,25-337Y-1 BY118-I8,TFCN_25-337Y-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,86.0,30.0,,YPDN
76,77.0,209-6-2 BY42-G9,TFCN_209-6-2,Rhodotorula mucilaginosa,China,,353.0,1.0,1.0,87.0,30.0,,YPDN
77,78.0,25-332P-2 BY119-B2,TFCN_25-332P-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,88.0,30.0,,YPDN
78,79.0,98C-7,TFCN_98C-7,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,89.0,30.0,,YPDN
79,80.0,1B-1-2,TFCN_1B-1-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,90.0,30.0,,YPDN
80,81.0,98C-5,TFCN_98C-5,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,91.0,30.0,,YPDN
81,83.0,152A-2 BY32-I1,TFCN_152A-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,92.0,30.0,,YPDN
82,84.0,43A-22,TFCN_43A-0-22,Rhodotorula paludigena,China,marsh_tidalflat,353.0,1.0,1.0,93.0,30.0,,YPDN
83,85.0,48A-3,TFCN_48A-3,Rhodotorula paludigena,China,marsh_tidalflat,353.0,1.0,1.0,94.0,30.0,,YPDN
84,86.0,25-333Y-10 BY120-D8,TFCN_25-333Y-10,Rhodotorula mucilaginosa,China,,353.0,1.0,1.0,96.0,30.0,,YPDN
85,1.0,17-291Y-1 BY126-B8,TFCN_17-291Y-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,92.0,30.0,,YPDN
86,2.0,134A-3 BY30-D2,TFCN_134A-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,6.0,30.0,,YPDN
87,3.0,98A-5,TFCN_98A-5,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,73.0,30.0,,YPDN
88,4.0,102C-2,TFCN_102C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,45.0,30.0,,YPDN
89,5.0,105A-2,TFCN_105A-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,41.0,30.0,,YPDN
90,6.0,17-334Y-2 BY116-B9,TFCN_17-334Y-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,93.0,30.0,,YPDN
91,7.0,17-329Y-4 BY115-H8,TFCN_17-329Y-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,68.0,30.0,,YPDN
92,8.0,107A-6 BY31-B6,TFCN_107A-6,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,29.0,30.0,,YPDN
93,9.0,17-390M-1 BY126-D7,TFCN_17-390M-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,71.0,30.0,,YPDN
94,10.0,86C-9 BY34-B2,TFCN_86C-9,Rhodotorula sphaerocarpa,China,marsh_tidalflat,353.0,1.0,2.0,69.0,30.0,,YPDN
95,11.0,122C-2  BY31-A2,TFCN_122C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,62.0,30.0,,YPDN
96,12.0,4M-1-3,TFCN_4M-1-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,18.0,30.0,,YPDN
97,13.0,141C-2 BY30-H4,TFCN_141C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,40.0,30.0,,YPDN
98,14.0,130D-4 BY30-H7,TFCN_130D-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,3.0,30.0,,YPDN
99,15.0,3M-1-1 BY8-B4,TFCN_3M-1-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,52.0,30.0,,YPDN
100,16.0,186DK3-2 BY39-H9,TFCN_186DK3-2,Rhodotorula sp. clade XI,China,marsh_tidalflat,353.0,1.0,2.0,25.0,30.0,,YPDN
101,17.0,7-9-3,TFCN_7-9-3,Rhodotorula diobovata,China,marsh_tidalflat,353.0,1.0,2.0,15.0,30.0,,YPDN
102,18.0,25-395P-1 BY126-F2,TFCN_25-395P-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,26.0,30.0,,YPDN
103,19.0,152A-12 BY32-A3,TFCN_152A-12,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,66.0,30.0,,YPDN
104,20.0,102D-1 8130,TFCN_102D-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,32.0,30.0,,YPDN
105,21.0,4M-1-2 BY8-D4,TFCN_4M-1-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,48.0,30.0,,YPDN
106,22.0,209-6-11 BY43-G1,TFCN_209-6-11,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,96.0,30.0,,YPDN
107,23.0,110C-1,TFCN_110C-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,76.0,30.0,,YPDN
108,24.0,17-337P-5 BY116-B7,TFCN_17-337P-5,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,60.0,30.0,,YPDN
109,25.0,137C-3 BY30-I4,TFCN_137C-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,22.0,30.0,,YPDN
110,26.0,212C-2 BY39-G3 ,TFCN_212C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,94.0,30.0,,YPDN
111,27.0,25-0-2E390-1 BY126-F3,TFCN_25-0-2E390-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,87.0,30.0,,YPDN
112,28.0,1A-1-3 8130,TFCN_1A-1-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,20.0,30.0,,YPDN
113,29.0,25-332D-2 BY119-I1 8/30,TFCN_25-332D-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,8.0,30.0,,YPDN
114,30.0,2M-1-4 BY8-B3 8/30,TFCN_2M-1-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,83.0,30.0,,YPDN
115,31.0,340-3 BY110-F1,TFCN_340-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,82.0,30.0,,YPDN
116,32.0,100D-1 BY31-H3,TFCN_100D-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,78.0,30.0,,YPDN
117,33.0,340-1 BY110-D1,TFCN_340-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,72.0,30.0,,YPDN
118,34.0,83E1 BY33-F1,TFCN_83C-1,Rhodotorula sphaerocarpa,,marsh_tidalflat,353.0,1.0,2.0,61.0,30.0,,YPDN
119,35.0,17-331Y-5 BY117-B9,TFCN_17-331Y-3,Rhodotorula sp_clade_I,China,marsh_tidalflat,353.0,1.0,2.0,19.0,30.0,,YPDN
120,36.0,17-267M-1 BY121-A4,TFCN_17-267M-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,13.0,30.0,,YPDN
121,37.0,48A-15,TFCN_48A-15,Rhodotorula paludigena,China,marsh_tidalflat,353.0,1.0,2.0,81.0,30.0,,YPDN
122,38.0,25-332C-1 BY119-C2,TFCN_25-332C-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,38.0,30.0,,YPDN
123,39.0,17-334Y-3 BY116-C9,TFCN_17-334Y-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,37.0,30.0,,YPDN
124,40.0,270H-1 BY113-D3,TFCN_270H-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,50.0,30.0,,YPDN
125,41.0,107C-3,TFCN_107C-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,43.0,30.0,,YPDN
126,42.0,33A-4,TFCN_33A-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,80.0,30.0,,YPDN
127,43.0,152D-4 BY32-B4,TFCN_152D-4,Rhodotorula toruloides,China,marsh_tidalflat,353.0,1.0,2.0,39.0,30.0,,YPDN
128,44.0,7-9-2,TFCN_7-9-2,Rhodotorula diobovata,China,marsh_tidalflat,353.0,1.0,2.0,63.0,30.0,,YPDN
129,45.0,17Y-278-1 BY126-D5,TFCN_17Y-278-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,4.0,30.0,,YPDN
130,46.0,43A-4,TFCN_43A-4,Rhodotorula paludigena,China,marsh_tidalflat,353.0,1.0,2.0,89.0,30.0,,YPDN
131,47.0,25-331D-1 BY119-D1,TFCN_25-331D-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,46.0,30.0,,YPDN
132,48.0,25-333C-2 BY120-H5,TFCN_25-333C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,84.0,30.0,,YPDN
133,49.0,270H-2 BY113-D4,TFCN_270H-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,67.0,30.0,,YPDN
134,50.0,118C-2 BY31-G1,TFCN_118C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,47.0,30.0,,YPDN
135,51.0,25-334D-3 BY118-F7,TFCN_25-334D-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,23.0,30.0,,YPDN
136,52.0,1A-14,TFCN_1A-14,Rhodotorula mucilaginosa,China,,353.0,1.0,2.0,53.0,30.0,,YPDN
137,53.0,211A-3 BY37-B3,TFCN_211A-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,58.0,30.0,,YPDN
138,54.0,17-0-2E390-1 BY126-B7,TFCN_17-0-2E390-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,30.0,30.0,,YPDN
139,55.0,172A-1 BY40-A6,TFCN_172A-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,27.0,30.0,,YPDN
140,56.0,22C-4,TFCN_22C-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,74.0,30.0,,YPDN
141,57.0,98D-11,TFCN_98D-11,Rhodotorula mucilaginosa,China,,353.0,1.0,2.0,5.0,30.0,,YPDN
142,58.0,25-332Y-1 BY119-F3,TFCN_25-332Y-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,35.0,30.0,,YPDN
143,59.0,25-333Y-9 BY120_C8,TFCN_25-333Y-9,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,14.0,30.0,,YPDN
144,60.0,25-325Y-1 BY120-D6,TFCN_25-325Y-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,79.0,30.0,,YPDN
145,61.0,152A-6 BY32-D2,TFCN_152A-6,Rhodotorula toruloides,China,marsh_tidalflat,353.0,1.0,2.0,10.0,30.0,,YPDN
146,62.0,17-338D-3 BY116-B5,TFCN_17-338D-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,91.0,30.0,,YPDN
147,63.0,17-0-2E390-2 BY126-C7,TFCN_17-0-2E390-2,Rhodotorula mucilaginosa,China,,353.0,1.0,2.0,86.0,30.0,,YPDN
148,64.0,140A-3 BY30-G2,TFCN_140A-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,55.0,30.0,,YPDN
149,65.0,223D-8 BY35-B9,TFCN_223A-8,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,2.0,30.0,,YPDN
150,66.0,209-6-5 BY43-A1,TFCN_209-6-5,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,42.0,30.0,,YPDN
151,67.0,17-333P-6 BY118-E1,TFCN_17-333P-6,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,49.0,30.0,,YPDN
152,68.0,17-325D-2 BY116-B4,TFCN_17-325D-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,51.0,30.0,,YPDN
153,69.0,17-325P-1 BY117-E2,TFCN_17-325P-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,33.0,30.0,,YPDN
154,71.0,7W-292-3 BY53-A7,TFCN_7W-292-3,Rhodotorula dairenensis,China,marsh_tidalflat,353.0,1.0,2.0,59.0,30.0,,YPDN
155,72.0,89D-3 BY32-I5,TFCN_89D-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,9.0,30.0,,YPDN
156,73.0,138A-1 BY31-C1,TFCN_138A-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,57.0,30.0,,YPDN
157,74.0,209-6-17 BY43-D2,TFCN_209-6-17,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,36.0,30.0,,YPDN
158,75.0,137D-4 BY30-H6,TFCN_137D-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,7.0,30.0,,YPDN
159,76.0,25-337Y-1 BY118-I8,TFCN_25-337Y-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,88.0,30.0,,YPDN
160,77.0,209-6-2 BY42-G9,TFCN_209-6-2,Rhodotorula mucilaginosa,China,,353.0,1.0,2.0,77.0,30.0,,YPDN
161,78.0,25-332P-2 BY119-B2,TFCN_25-332P-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,16.0,30.0,,YPDN
162,79.0,98C-7,TFCN_98C-7,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,24.0,30.0,,YPDN
163,80.0,1B-1-2,TFCN_1B-1-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,12.0,30.0,,YPDN
164,81.0,98C-5,TFCN_98C-5,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,17.0,30.0,,YPDN
165,83.0,152A-2 BY32-I1,TFCN_152A-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,2.0,56.0,30.0,,YPDN
166,84.0,43A-22,TFCN_43A-0-22,Rhodotorula paludigena,China,marsh_tidalflat,353.0,1.0,2.0,70.0,30.0,,YPDN
167,85.0,48A-3,TFCN_48A-3,Rhodotorula paludigena,China,marsh_tidalflat,353.0,1.0,2.0,28.0,30.0,,YPDN
168,86.0,25-333Y-10 BY120-D8,TFCN_25-333Y-10,Rhodotorula mucilaginosa,China,,353.0,1.0,2.0,90.0,30.0,,YPDN
169,1.0,17-291Y-1 BY126-B8,TFCN_17-291Y-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,3.0,66.0,30.0,,YPDN
170,2.0,134A-3 BY30-D2,TFCN_134A-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,3.0,51.0,30.0,,YPDN
171,3.0,98A-5,TFCN_98A-5,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,3.0,12.0,30.0,,YPDN
